batch_id,sku,product_slug,product_name,category,source_file,source_type,target_file,target_type,source_width,source_height,source_size_bytes,target_width,target_height,target_format,existing_target,action,status,notes
20260717075231-7ba9bd,GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/push-pull-control-cable-assemblies32010843094.webp,unknown,,,730,730,12152,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/construction-original-01.webp,construction,public/images/products/brake-cable-assembly/construction-01.webp,construction,730,730,23168,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/construction-original-02.webp,construction,public/images/products/brake-cable-assembly/construction-02.webp,construction,730,730,30560,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/construction-original-03.webp,construction,public/images/products/brake-cable-assembly/construction-03.webp,construction,730,730,28470,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/construction-original-04.webp,construction,public/images/products/brake-cable-assembly/construction-04.webp,construction,730,730,27988,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/construction-original-05.webp,construction,public/images/products/brake-cable-assembly/construction-05.webp,construction,730,730,23584,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/main-original-01.webp,main,public/images/products/brake-cable-assembly/main.webp,main,730,730,23168,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/main-original-01.webp,main,public/images/products/throttle-control-cable/main.webp,main,730,730,31244,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/throttle-motorcycle-control-cable49510017499.webp,unknown,,,730,730,31244,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/throttle-motorcycle-control-cable54550860320.webp,unknown,,,730,730,32568,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/throttle-motorcycle-control-cable54551797822.webp,unknown,,,730,730,31206,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/throttle-motorcycle-control-cable54552891570.webp,unknown,,,730,730,21556,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/throttle-motorcycle-control-cable54553829153.webp,unknown,,,730,730,31892,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/gym-equipment-cable-assembly/detail-original-01.webp,detail,public/images/products/gym-equipment-cable-assembly/detail-01.webp,detail,730,730,35356,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/gym-equipment-cable-assembly/detail-original-02.webp,detail,public/images/products/gym-equipment-cable-assembly/detail-02.webp,detail,730,794,33304,730,794,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/gym-equipment-cable-assembly/detail-original-03.webp,detail,public/images/products/gym-equipment-cable-assembly/detail-03.webp,detail,730,575,27792,730,575,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
