batch_id,category,product_slug,product_name,source_path,source_filename,target_path,target_filename,detected_type,confidence,width,height,file_size_bytes,extension,contains_old_brand_filename,contains_contact_filename,action,status,notes
20260717072102-ir1o25,control-brake-cables,throttle-control-cable,Throttle Control Cable,image-import/control-brake-cables/throttle-control-cable/,throttle-motorcycle-control-cable54553829153.webp,image-import/control-brake-cables/throttle-control-cable/,review-original-05.webp,review,low,730,730,31892,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,gym-fitness-cables,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-01.webp,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-01.webp,detail,high,730,730,35356,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-02.webp,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-02.webp,detail,high,730,794,33304,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-03.webp,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-03.webp,detail,high,730,575,27792,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-04.webp,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-04.webp,detail,high,730,730,39008,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-05.webp,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,detail-original-05.webp,detail,high,730,660,47530,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,weight-stack-cable-assembly,Weight Stack Cable Assembly,image-import/gym-fitness-cables/weight-stack-cable-assembly/,334788_a_$web$__40758 (1).jpg,image-import/gym-fitness-cables/weight-stack-cable-assembly/,review-original-01.jpg,review,low,2000,2000,293637,.jpg,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,gym-fitness-cables,weight-stack-cable-assembly,Weight Stack Cable Assembly,image-import/gym-fitness-cables/weight-stack-cable-assembly/,334788_a_$web$__40758.jpg,image-import/gym-fitness-cables/weight-stack-cable-assembly/,review-original-02.jpg,review,low,1280,1280,172953,.jpg,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,gym-fitness-cables,weight-stack-cable-assembly,Weight Stack Cable Assembly,image-import/gym-fitness-cables/weight-stack-cable-assembly/,335051_$web$__93761.jpg,image-import/gym-fitness-cables/weight-stack-cable-assembly/,review-original-03.jpg,review,low,2000,2000,206467,.jpg,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,gym-fitness-cables,pvc-coated-gym-cable,PVC Coated Gym Cable,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-01.webp,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-01.webp,application,high,730,730,40814,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,pvc-coated-gym-cable,PVC Coated Gym Cable,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-02.webp,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-02.webp,application,high,730,730,30558,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,pvc-coated-gym-cable,PVC Coated Gym Cable,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-03.webp,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-03.webp,application,high,730,730,33152,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,gym-fitness-cables,pvc-coated-gym-cable,PVC Coated Gym Cable,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-04.webp,image-import/gym-fitness-cables/pvc-coated-gym-cable/,application-original-04.webp,application,high,730,730,27604,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
